#f_gw[Hz], f_dot_total [yr^(-2)], m1 [msun], m2[msun], xGx[kpc], yGx[kpc], zGx[kpc]
3.574287751689553261e-03,-3.077094070613384247e-02,7.231938093900680542e-02,7.526805996894836426e-01,-1.075950561523437500e+03,-2.140607910156250000e+02,9.158611297607421875e+01
3.391324775293469429e-03,-2.290314622223377228e-02,6.819720566272735596e-02,8.068028092384338379e-01,1.583811767578125000e+03,-6.053081665039062500e+02,4.414100646972656250e+02
3.624667413532733917e-03,-3.191257640719413757e-02,7.327376306056976318e-02,8.517262339591979980e-01,6.101191406250000000e+02,-1.228471801757812500e+03,-2.446384735107421875e+02
3.910901956260204315e-03,-5.037534236907958984e-02,7.963404804468154907e-02,8.203659653663635254e-01,-1.647241363525390625e+02,3.510932540893554688e+01,1.477981262207031250e+02
3.778301179409027100e-03,-3.973615542054176331e-02,7.644577324390411377e-02,9.985542297363281250e-01,6.776793823242187500e+02,-6.882969360351562500e+02,-2.442264404296875000e+02
5.042238626629114151e-03,-1.930307447910308838e-01,1.041132733225822449e-01,1.020886778831481934e+00,-1.972593383789062500e+02,-1.323526916503906250e+02,-5.556423339843750000e+02
3.888200037181377411e-03,-4.824470728635787964e-02,7.916513085365295410e-02,7.958348989486694336e-01,-7.994860229492187500e+02,2.400244140625000000e+03,-2.742181396484375000e+02
3.319364273920655251e-03,-1.997402310371398926e-02,6.645794212818145752e-02,9.085420370101928711e-01,-9.885173034667968750e+01,-1.400956420898437500e+02,9.048068847656250000e+02
3.656756365671753883e-03,-3.342974931001663208e-02,7.387751340866088867e-02,9.261224865913391113e-01,-7.061289062500000000e+03,3.848018798828125000e+03,-2.431876831054687500e+02
3.541131271049380302e-03,-2.856555394828319550e-02,7.143537700176239014e-02,8.535646200180053711e-01,-4.405263366699218750e+02,-1.528636962890625000e+03,-9.436719512939453125e+01
3.882719669491052628e-03,-4.778499528765678406e-02,7.904335856437683105e-02,7.959566712379455566e-01,-5.549468383789062500e+02,-1.326484375000000000e+03,-2.675335388183593750e+02
3.466045949608087540e-03,-2.462493255734443665e-02,6.949078291654586792e-02,1.055509209632873535e+00,5.219990234375000000e+03,3.302822265625000000e+03,-6.268883132934570312e+01
3.504232270643115044e-03,-2.724744565784931183e-02,7.069292664527893066e-02,8.043070435523986816e-01,-9.928440093994140625e+01,-1.926639366149902344e+01,5.432884597778320312e+01
3.732823533937335014e-03,-3.820912167429924011e-02,7.573933899402618408e-02,7.992606163024902344e-01,6.029087524414062500e+02,2.112016113281250000e+03,1.114553604125976562e+02
3.889423795044422150e-03,-4.763920232653617859e-02,7.904401421546936035e-02,8.959559798240661621e-01,3.386063720703125000e+03,-6.712101074218750000e+03,6.483045196533203125e+01
3.230817615985870361e-03,-1.775270141661167145e-02,6.472005695104598999e-02,7.602799534797668457e-01,1.669399414062500000e+03,-2.843371887207031250e+02,1.791778869628906250e+02
3.510843962430953979e-03,-2.758774161338806152e-02,7.083875685930252075e-02,8.041612505912780762e-01,2.265409545898437500e+02,-9.121862182617187500e+02,-7.939994812011718750e+01
3.623105818405747414e-03,-3.389387205243110657e-02,7.347209006547927856e-02,6.991435885429382324e-01,-9.508874511718750000e+02,-7.787025756835937500e+02,-6.683774566650390625e+01
5.357744637876749039e-03,-3.551633059978485107e-01,1.112730950117111206e-01,7.637268900871276855e-01,5.546083984375000000e+02,1.332075195312500000e+03,-9.083768310546875000e+02
4.554623737931251526e-03,-1.207141503691673279e-01,9.377709031105041504e-02,8.062229156494140625e-01,9.885004272460937500e+02,-1.582062683105468750e+02,-8.478694152832031250e+01
3.240978345274925232e-03,-1.755048893392086029e-02,6.491247564554214478e-02,7.850875258445739746e-01,3.599964599609375000e+03,-1.820907104492187500e+03,4.906372451782226562e+01
3.308843821287155151e-03,-1.948853209614753723e-02,6.637396663427352905e-02,8.086260557174682617e-01,5.086161499023437500e+02,7.918452148437500000e+02,-1.751789283752441406e+01
4.013667348772287369e-03,-5.427464842796325684e-02,8.163420855998992920e-02,9.933658242225646973e-01,-1.460392303466796875e+02,2.240492675781250000e+03,5.076235961914062500e+02
3.284740960225462914e-03,-1.923530176281929016e-02,6.583853811025619507e-02,8.091614246368408203e-01,5.090408935546875000e+02,-6.091632690429687500e+02,-1.555333404541015625e+02
3.247069194912910461e-03,-1.783947087824344635e-02,6.500975787639617920e-02,8.099902868270874023e-01,1.691071655273437500e+03,-2.526696166992187500e+02,-2.485627593994140625e+02
